posts,region,province
Ang saya ko ngayon! 😊,VIII,Eastern Samar
Murag ubo nga naay plema ko karon. 😷,VI,Aklan
"Ugh, cough with phlegm again...",IVA,Quezon
Ilang araw na akong may ubong walang plema.,V,Albay
Unsay tambal sa hubak?,IX,Zamboanga del Sur
Having a wonderful day!,X,Misamis Occidental
Naay uban naka-experience ug tb?,CAR,Abra
Naay tambal para sa hubak?,V,Camarines Sur
Murag tb ko karon. 😷,IVA,Quezon
Bakit di mawala ang lagnat?,I,Pangasinan
Naglingaw-lingaw sa gawas. 🌳,IVB,Marinduque
Ilang araw na akong may ubong may plema.,IVB,Palawan
Pila na ka adlaw nga huyang ag ubo ko.,XI,Davao de Oro
Nindot kaayo ang kalangitan. 🌤️,CAR,Apayao
"Hay, ubo na naman...",I,Pangasinan
Hinaot mawala na ni nga hilanat.,BARMM,Lanao del Sur
Mapasalamaton sa nindot nga adlaw.,IX,Zamboanga Sibugay
Feeling great today! 😊,VIII,Biliran
Can't shake off this cough.,VI,Guimaras
May nakakaranas din ba ng ubong may plema?,IVA,Batangas
Naay tambal para sa hilanat?,VII,Bohol
"Hay, hubak nasad...",VIII,Northern Samar
Pila na ka adlaw nga ubo nga naay dulaw ug berde plema ko.,IVA,Batangas
Naay uban naka-experience ug hubak?,III,Nueva Ecija
Pakiramdam ko mainit ang pakiramdam ngayon. 😷,VI,Aklan
Naay uban naka-experience ug naghubak na naay kauban na dugo?,CAR,Ifugao
Pakiramdam ko ubo ngayon. 😷,CAR,Apayao
Ang ganda ng araw ko!,IVA,Laguna
Lakad-lakad sa siyudad.,X,Lanao del Norte
Naay uban naka-experience ug ubo nga naay plema?,XII,Sultan Kudarat
Nakakainis ang ubo na ito.,IX,Zamboanga Sibugay
Nakakainis ang ubong may plema na ito.,XI,Davao Oriental
Feeling cough today. 😷,XIII,Agusan del Norte
Pila na ka adlaw nga naghubak na naay kauban na dugo ko.,XII,Sultan Kudarat
Pakiramdam ko mahigit tatlong linggong ubo ngayon. 😷,III,Aurora
Nagpahuway ra sa balay.,CAR,Benguet
Nindot kaayo ang adlaw! ☀️,VI,Negros Occidental
Hindi mawala-wala ang ubo.,X,Misamis Oriental
Pakiramdam ko lagnat ngayon. 😷,VIII,Biliran
Naay uban naka-experience ug init ang pamati/ hilanat?,IVB,Occidental Mindoro
Ilang araw na akong may mahigit tatlong linggong ubo.,BARMM,Basilan
Ganahan ko sa panahon karon!,CAR,Mountain Province
Enjoying some time outside. 🌳,CAR,Mountain Province
Pakiramdam ko maplemang ubo ngayon. 😷,I,La Union
Ano bang gamot sa ubo?,CAR,Abra
May nakakaranas din ba ng matagal ng may ubo?,IVB,Occidental Mindoro
Hinaot mawala na ni nga hubak.,V,Camarines Norte
Ang ganda ng kalangitan. 🌤️,VIII,Eastern Samar
Bakit di mawala ang mainit ang pakiramdam?,CAR,Benguet
Murag kapin sa tulo ka semana nga ubo ko karon. 😷,III,Nueva Ecija
Pila na ka adlaw nga hilanat ko.,IVB,Marinduque
Ano bang gamot sa ubong may plema?,IVB,Marinduque
Sana mawala na itong mainit ang pakiramdam.,II,Nueva Vizcaya
Pila na ka adlaw nga tb ko.,VIII,Southern Leyte
Unsay tambal sa huyang ag ubo?,III,Nueva Ecija
Perfect nga adlaw para maglakaw-lakaw. 🚶‍♂️,XI,Davao de Oro
Lipay kaayo ko karon! 😊,VI,Capiz
Unsay tambal sa tb?,I,Ilocos Sur
Pakiramdam ko ubong may plema ngayon. 😷,X,Camiguin
Naay tambal para sa hubak na walay plema?,XIII,Agusan del Sur
Nakakainis ang mainit ang pakiramdam na ito.,VIII,Leyte
May tips ba para sa maplemang ubo?,CAR,Ifugao
Anyone else experiencing cough with yellowish or greenish sputum?,IVA,Rizal
Ngano di man mawala ning hilanat?,IVB,Romblon
Hindi mawala-wala ang mainit ang pakiramdam.,IX,Zamboanga del Sur
Di jud mawala ang ubo.,VI,Capiz
Lakaw-lakaw sa syudad.,X,Lanao del Norte
Anyone have remedies for cough?,CAR,Ifugao
Hinaot mawala na ni nga ubo.,X,Camiguin
Sana mawala na itong ubong walang plema.,II,Quirino
Pila na ka adlaw nga hubak ko.,V,Sorsogon
Ano bang gamot sa lagnat?,XII,South Cotabato
Nag-eenjoy sa labas. 🌳,VIII,Northern Samar
"Ugh, tb again...",XI,Davao Oriental
"Dealing with cough with phlegm, any tips?",XII,South Cotabato
What a beautiful day! ☀️,VII,Bohol
Makainis ang hilanat na ni.,X,Bukidnon
Ano bang gamot sa ubong walang plema?,X,Misamis Oriental
"Hay, mainit ang pakiramdam na naman...",VIII,Eastern Samar
Ngano di man mawala ning naghubak na naay kauban na dugo?,I,Ilocos Sur
Ilang araw na akong may mainit ang pakiramdam.,V,Catanduanes
Relaxing at home today.,II,Nueva Vizcaya
Naay tambal para sa daghang plema?,CAR,Abra
Ilang araw na akong may lagnat.,CAR,Benguet
Ang ganda ng panahon ngayon!,X,Bukidnon
Sana mawala na itong ubo.,NCR,Metro Manila
Sana mawala na itong mahigit tatlong linggong ubo.,XI,Davao de Oro
May tips ba para sa lagnat?,II,Quirino
Bakit di mawala ang ubong walang plema?,III,Zambales
Can't shake off this productive cough.,IVB,Marinduque
Sana mawala na itong plemang kulay berde.,IVB,Palawan
Di jud mawala ang hilanat.,VIII,Leyte
Nagpapahinga sa bahay.,I,Pangasinan
Ngano di man mawala ning hubak na walay plema?,XII,Sarangani
Di jud mawala ang naghubak na naay kauban na dugo.,XIII,Agusan del Sur
Murag ubo ko karon. 😷,V,Albay
Ilang araw na akong may ubo.,VI,Negros Occidental
Perfect day for a walk. 🚶‍♂️,XII,South Cotabato
Naay uban naka-experience ug daghang plema?,XII,Sultan Kudarat
May tips ba para sa matagal ng may ubo?,XI,Davao del Norte
Ngano di man mawala ning init ang pamati?,IVA,Cavite
Ano bang gamot sa mainit ang pakiramdam?,III,Zambales
Unsay tambal sa init ang pamati?,VIII,Northern Samar
Ang ganda ng araw! ☀️,II,Quirino
This cough is really getting to me.,BARMM,Maguindanao del Norte
Murag ubo nga naay dulaw ug berde plema ko karon. 😷,II,Nueva Vizcaya
Murag hubak ko karon. 😷,VIII,Southern Leyte
Nindot kaayo ang akong adlaw!,X,Lanao del Norte
"Hay, hilanat nasad...",CAR,Apayao
Ano bang gamot sa matagal ng may ubo?,II,Batanes
Hinaot mawala na ni nga kapin sa tulo ka semana nga ubo.,XIII,Agusan del Sur
Ngano di man mawala ning tb?,IVB,Marinduque
"Ugh, productive cough again...",VIII,Northern Samar
"Hay, huyang ag ubo nasad...",III,Bataan
Perfect na araw para maglakad. 🚶‍♂️,VII,Negros Oriental
