posts,region,province,annotations,extracted_words,PH_code,lat,long,filtered_location
Inom ng maraming tubig para iwas sakit. ,CAR,Benguet,"AURI,PN",mohanggak,PH-14,16.52,120.69,"16.52, 120.69"
Lami kaayo ang pagkaon sa Cebu. ,VI,Iloilo,"COVID,PN,AURI",pagbahing,PH-06,10.9522168,122.5799456,"10.9522168, 122.5799456"
Ang akong ubo wala pa gyud mawala. ,V,Camarines Norte,"TB,AURI",night sweat,PH-05,14.166667,122.75,"14.166667, 122.75"
Nag-enjoy kami sa bagong restaurant sa Makati. ,III,Tarlac,"TB,PN",mababa ang dugo,PH-03,15.4937252,120.4964091,"15.4937252, 120.4964091"
Paborito ko ang bagong pelikula ni Alden. ,CAR,Apayao,"AURI,PN,COVID,TB",diarrhea,PH-14,18.08557685,121.18792848783632,"18.08557685, 121.18792848783632"
Going to the beach this weekend. ,NCR,Metro Manila,"PN,AURI,COVID,TB",body pain,PH-00,14.5619689,121.01805780594316,"14.5619689, 121.01805780594316"
Ang akong ubo wala pa gyud mawala. ,VIII,Eastern Samar,"COVID,TB,AURI",hilanat,PH-08,11.73,125.37,"11.73, 125.37"
Ubo ug sip-on na sad ning panahon. ,XIII,Dinagat Islands,"TB,COVID,PN,AURI",nahihirapan makarinig,PH-13,10.1577932,125.5851827,"10.1577932, 125.5851827"
Sino may kilalang magaling na doktor para sa asthma? ,V,Camarines Sur,"COVID,TB,PN",anorexia,PH-05,13.6428216,123.3282338,"13.6428216, 123.3282338"
Drinking warm water helps soothe the throat. ,XIII,Agusan del Norte,TB,matagal ng may ubo,PH-13,8.92,125.46,"8.92, 125.46"
Kinsay nakasuway ug asthma? ,VI,Aklan,"PN,TB,AURI",productive cough,PH-06,11.6297894,122.2481177,"11.6297894, 122.2481177"
Ang ganda ng tanawin sa Tagaytay. ,VI,Capiz,PN,daghang plema,PH-06,11.3852987,122.6377315,"11.3852987, 122.6377315"
Kinsay nakasuway ug asthma? ,V,Sorsogon,"PN,TB",umuubo ng may dugo,PH-05,12.833333,123.916667,"12.833333, 123.916667"
Ang akong ubo wala pa gyud mawala. ,CAR,Benguet,"PN,AURI,TB,COVID",mabigat and katawan,PH-14,16.52,120.69,"16.52, 120.69"
Nakapagbakasyon kami sa Boracay. ,CAR,Apayao,"COVID,AURI,PN,TB",pharyngitis,PH-14,18.08557685,121.18792848783632,"18.08557685, 121.18792848783632"
Adto mi sa dagat karong weekend. ,VII,Negros Oriental,"TB,COVID,AURI,PN",masakit lumulon,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Inom ng maraming tubig para iwas sakit. ,XII,Cotabato,"PN,AURI,COVID,TB",mahirap lumulon,PH-12,7.27,124.86,"7.27, 124.86"
I love the food in Cebu. ,BARMM,Maguindanao del Sur,"TB,COVID,PN,AURI",uro-uro,PH-15,6.9234196,124.5365357,"6.9234196, 124.5365357"
Kinsay nakasuway ug asthma? ,X,Misamis Occidental,PN,suol sa dughan kon moginhawa,PH-10,8.333333,123.7,"8.333333, 123.7"
Ubo ug sip-on na sad ning panahon. ,BARMM,Lanao del Sur,"AURI,COVID",mapaso giabat,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
I love the food in Cebu. ,VIII,Southern Leyte,"COVID,AURI,TB",stuffy nose,PH-08,10.3475099,125.1250896,"10.3475099, 125.1250896"
Ubo ug sip-on na sad ning panahon. ,CAR,Ifugao,"PN,TB,COVID",panghihina,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Nag-enjoy kami sa bagong restaurant sa Makati. ,II,Cagayan,PN,tiredness,PH-02,18.0,121.833333,"18.0, 121.833333"
Kinsay nakasuway ug asthma? ,XI,Davao Oriental,PN,kakapoy,PH-11,7.166667,126.333333,"7.166667, 126.333333"
Ang akong ubo wala pa gyud mawala. ,XIII,Agusan del Sur,"AURI,COVID",rhinitis,PH-13,8.36,125.71,"8.36, 125.71"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,X,Misamis Oriental,"TB,COVID,PN",runny nose,PH-10,8.6534807,124.8235205,"8.6534807, 124.8235205"
I just bought a new bag. ,III,Nueva Ecija,"COVID,AURI,PN",nahihirapan makarinig,PH-03,15.583333,121.0,"15.583333, 121.0"
Ang akong ubo wala pa gyud mawala. ,VI,Capiz,"COVID,PN",masakit sa dibdib kapag umuubo,PH-06,11.3852987,122.6377315,"11.3852987, 122.6377315"
Inom ng maraming tubig para iwas sakit. ,XIII,Agusan del Sur,"PN,TB,AURI",kurog sa katugnaw,PH-13,8.36,125.71,"8.36, 125.71"
Sarap mamasyal sa Baguio. ,BARMM,Maguindanao del Norte,TB,gamay ug pula sa dugo,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Lami kaayo ang pagkaon sa Cebu. ,IX,Zamboanga del Sur,"PN,TB,AURI,COVID",kakapoy,PH-09,7.9043,123.3194,"7.9043, 123.3194"
Nakapagbakasyon kami sa Boracay. ,V,Masbate,"TB,AURI,COVID",pagod na pagod,PH-05,12.166667,123.583333,"12.166667, 123.583333"
Hirap huminga dahil sa sipon. ,CAR,Kalinga,"PN,TB,COVID",antigen test positive,PH-14,17.5494509,120.9485748,"17.5494509, 120.9485748"
Ubo ug sip-on na sad ning panahon. ,V,Camarines Norte,"TB,PN",kapoyun,PH-05,14.166667,122.75,"14.166667, 122.75"
Hirap huminga dahil sa sipon. ,CAR,Ifugao,"AURI,COVID,TB,PN",nag puot na ilong,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
